desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
POL-INT-01|zh|baseline|hanzi#004#siteB#k3,POL-INT-01|zh|baseline|hanzi#004#siteB,3,POL-INT-01|zh|baseline|hanzi#004,POL-INT-01,POL-INT,Taiwan,zh,hanzi,baseline,B,0.006813,0.996594,mixed,543
POL-INT-01|zh|baseline|hanzi#004#siteB#k4,POL-INT-01|zh|baseline|hanzi#004#siteB,4,POL-INT-01|zh|baseline|hanzi#004,POL-INT-01,POL-INT,Taiwan,zh,hanzi,baseline,B,0.006889,0.996556,mixed,580
POL-INT-01|en|baseline|latin#005#siteA#k0,POL-INT-01|en|baseline|latin#005#siteA,0,POL-INT-01|en|baseline|latin#005,POL-INT-01,POL-INT,Taiwan,en,latin,baseline,A,0.009387,0.995307,en,752
POL-INT-01|en|baseline|latin#005#siteA#k1,POL-INT-01|en|baseline|latin#005#siteA,1,POL-INT-01|en|baseline|latin#005,POL-INT-01,POL-INT,Taiwan,en,latin,baseline,A,0.009038,0.995481,en,716
POL-INT-01|en|baseline|latin#005#siteA#k2,POL-INT-01|en|baseline|latin#005#siteA,2,POL-INT-01|en|baseline|latin#005,POL-INT-01,POL-INT,Taiwan,en,latin,baseline,A,0.008803,0.995598,en,744
POL-INT-01|en|baseline|latin#005#siteA#k3,POL-INT-01|en|baseline|latin#005#siteA,3,POL-INT-01|en|baseline|latin#005,POL-INT-01,POL-INT,Taiwan,en,latin,baseline,A,0.008986,0.995507,en,699
POL-INT-01|en|baseline|latin#005#siteA#k4,POL-INT-01|en|baseline|latin#005#siteA,4,POL-INT-01|en|baseline|latin#005,POL-INT-01,POL-INT,Taiwan,en,latin,baseline,A,0.009355,0.995322,en,727
POL-INT-01|en|baseline|latin#005#siteB#k0,POL-INT-01|en|baseline|latin#005#siteB,0,POL-INT-01|en|baseline|latin#005,POL-INT-01,POL-INT,Taiwan,en,latin,baseline,B,0.008048,0.995976,en,776
POL-INT-01|en|baseline|latin#005#siteB#k1,POL-INT-01|en|baseline|latin#005#siteB,1,POL-INT-01|en|baseline|latin#005,POL-INT-01,POL-INT,Taiwan,en,latin,baseline,B,0.00793,0.996035,en,762
POL-INT-01|en|baseline|latin#005#siteB#k2,POL-INT-01|en|baseline|latin#005#siteB,2,POL-INT-01|en|baseline|latin#005,POL-INT-01,POL-INT,Taiwan,en,latin,baseline,B,0.007189,0.996406,en,788
POL-INT-01|en|baseline|latin#005#siteB#k3,POL-INT-01|en|baseline|latin#005#siteB,3,POL-INT-01|en|baseline|latin#005,POL-INT-01,POL-INT,Taiwan,en,latin,baseline,B,0.008449,0.995775,en,746
POL-INT-01|en|baseline|latin#005#siteB#k4,POL-INT-01|en|baseline|latin#005#siteB,4,POL-INT-01|en|baseline|latin#005,POL-INT-01,POL-INT,Taiwan,en,latin,baseline,B,0.007969,0.996016,en,787
POL-INT-02|zh|baseline|hanzi#006#siteA#k0,POL-INT-02|zh|baseline|hanzi#006#siteA,0,POL-INT-02|zh|baseline|hanzi#006,POL-INT-02,POL-INT,Taiwan,zh,hanzi,baseline,A,0.010198,0.994901,en,599
POL-INT-02|zh|baseline|hanzi#006#siteA#k1,POL-INT-02|zh|baseline|hanzi#006#siteA,1,POL-INT-02|zh|baseline|hanzi#006,POL-INT-02,POL-INT,Taiwan,zh,hanzi,baseline,A,0.010267,0.994867,en,589
POL-INT-02|zh|baseline|hanzi#006#siteA#k2,POL-INT-02|zh|baseline|hanzi#006#siteA,2,POL-INT-02|zh|baseline|hanzi#006,POL-INT-02,POL-INT,Taiwan,zh,hanzi,baseline,A,0.01101,0.994495,en,575
POL-INT-02|zh|baseline|hanzi#006#siteA#k3,POL-INT-02|zh|baseline|hanzi#006#siteA,3,POL-INT-02|zh|baseline|hanzi#006,POL-INT-02,POL-INT,Taiwan,zh,hanzi,baseline,A,0.010661,0.99467,en,631
POL-INT-02|zh|baseline|hanzi#006#siteA#k4,POL-INT-02|zh|baseline|hanzi#006#siteA,4,POL-INT-02|zh|baseline|hanzi#006,POL-INT-02,POL-INT,Taiwan,zh,hanzi,baseline,A,0.010355,0.994823,en,621
POL-INT-02|zh|baseline|hanzi#006#siteB#k0,POL-INT-02|zh|baseline|hanzi#006#siteB,0,POL-INT-02|zh|baseline|hanzi#006,POL-INT-02,POL-INT,Taiwan,zh,hanzi,baseline,B,0.006039,0.99698,mixed,541
POL-INT-02|zh|baseline|hanzi#006#siteB#k1,POL-INT-02|zh|baseline|hanzi#006#siteB,1,POL-INT-02|zh|baseline|hanzi#006,POL-INT-02,POL-INT,Taiwan,zh,hanzi,baseline,B,0.007403,0.996299,mixed,583
POL-INT-02|zh|baseline|hanzi#006#siteB#k2,POL-INT-02|zh|baseline|hanzi#006#siteB,2,POL-INT-02|zh|baseline|hanzi#006,POL-INT-02,POL-INT,Taiwan,zh,hanzi,baseline,B,0.006503,0.996749,mixed,565
POL-INT-02|zh|baseline|hanzi#006#siteB#k3,POL-INT-02|zh|baseline|hanzi#006#siteB,3,POL-INT-02|zh|baseline|hanzi#006,POL-INT-02,POL-INT,Taiwan,zh,hanzi,baseline,B,0.006828,0.996587,mixed,558
