desc_id,vector_id,sample_k,sent_id,pair_id,frame,entity,lang,mention_script,cell_type,site,mse,cos,desc_lang,desc_len
HIST-03|en|baseline|latin#005#siteA#k3,HIST-03|en|baseline|latin#005#siteA,3,HIST-03|en|baseline|latin#005,HIST-03,HIST,Taiwan,en,latin,baseline,A,0.010035,0.994982,en,666
HIST-03|en|baseline|latin#005#siteA#k4,HIST-03|en|baseline|latin#005#siteA,4,HIST-03|en|baseline|latin#005,HIST-03,HIST,Taiwan,en,latin,baseline,A,0.010719,0.99464,en,706
HIST-03|en|baseline|latin#005#siteB#k0,HIST-03|en|baseline|latin#005#siteB,0,HIST-03|en|baseline|latin#005,HIST-03,HIST,Taiwan,en,latin,baseline,B,0.005474,0.997263,en,782
HIST-03|en|baseline|latin#005#siteB#k1,HIST-03|en|baseline|latin#005#siteB,1,HIST-03|en|baseline|latin#005,HIST-03,HIST,Taiwan,en,latin,baseline,B,0.006065,0.996968,en,793
HIST-03|en|baseline|latin#005#siteB#k2,HIST-03|en|baseline|latin#005#siteB,2,HIST-03|en|baseline|latin#005,HIST-03,HIST,Taiwan,en,latin,baseline,B,0.006253,0.996873,en,761
HIST-03|en|baseline|latin#005#siteB#k3,HIST-03|en|baseline|latin#005#siteB,3,HIST-03|en|baseline|latin#005,HIST-03,HIST,Taiwan,en,latin,baseline,B,0.006877,0.996562,en,755
HIST-03|en|baseline|latin#005#siteB#k4,HIST-03|en|baseline|latin#005#siteB,4,HIST-03|en|baseline|latin#005,HIST-03,HIST,Taiwan,en,latin,baseline,B,0.006094,0.996953,en,727
CUL-06|zh|baseline|hanzi#006#siteA#k0,CUL-06|zh|baseline|hanzi#006#siteA,0,CUL-06|zh|baseline|hanzi#006,CUL-06,CUL,Taiwan,zh,hanzi,baseline,A,0.010066,0.994967,en,548
CUL-06|zh|baseline|hanzi#006#siteA#k1,CUL-06|zh|baseline|hanzi#006#siteA,1,CUL-06|zh|baseline|hanzi#006,CUL-06,CUL,Taiwan,zh,hanzi,baseline,A,0.010202,0.994899,en,535
CUL-06|zh|baseline|hanzi#006#siteA#k2,CUL-06|zh|baseline|hanzi#006#siteA,2,CUL-06|zh|baseline|hanzi#006,CUL-06,CUL,Taiwan,zh,hanzi,baseline,A,0.010825,0.994587,en,564
CUL-06|zh|baseline|hanzi#006#siteA#k3,CUL-06|zh|baseline|hanzi#006#siteA,3,CUL-06|zh|baseline|hanzi#006,CUL-06,CUL,Taiwan,zh,hanzi,baseline,A,0.011526,0.994237,en,504
CUL-06|zh|baseline|hanzi#006#siteA#k4,CUL-06|zh|baseline|hanzi#006#siteA,4,CUL-06|zh|baseline|hanzi#006,CUL-06,CUL,Taiwan,zh,hanzi,baseline,A,0.011209,0.994395,en,598
CUL-06|zh|baseline|hanzi#006#siteB#k0,CUL-06|zh|baseline|hanzi#006#siteB,0,CUL-06|zh|baseline|hanzi#006,CUL-06,CUL,Taiwan,zh,hanzi,baseline,B,0.009911,0.995045,mixed,485
CUL-06|zh|baseline|hanzi#006#siteB#k1,CUL-06|zh|baseline|hanzi#006#siteB,1,CUL-06|zh|baseline|hanzi#006,CUL-06,CUL,Taiwan,zh,hanzi,baseline,B,0.00788,0.99606,mixed,525
CUL-06|zh|baseline|hanzi#006#siteB#k2,CUL-06|zh|baseline|hanzi#006#siteB,2,CUL-06|zh|baseline|hanzi#006,CUL-06,CUL,Taiwan,zh,hanzi,baseline,B,0.008248,0.995876,mixed,517
